Name,Age,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,FOW,FOL,FO%
Jordan Staal,35,1,67,8,18,26,42,-13,935,798,8,128,8,0,0,2,0,15,1,2,4,0,23,1,2,6,0,3.8,0.460,1.034,1.494,0.538,1.010,1.548,0.000,6.207,6.207,0.119,0.269,0.388,104,7.7,128,33,679,488,58.18
Owen Power,21,0,62,5,21,26,14,1,1355,1154,97,103,5,0,0,1,0,15,5,1,3,1,20,5,1,4,1,19.2,0.214,0.900,1.114,0.251,0.754,1.006,0.000,2.978,2.978,0.081,0.339,0.419,88,5.7,37,90,0,0,0.00
J.J. Moser,23,0,66,5,21,26,23,4,1246,1033,56,155,5,0,0,0,0,16,3,2,2,1,21,3,2,2,1,11.5,0.219,0.919,1.138,0.264,0.844,1.108,0.000,2.874,2.874,0.076,0.318,0.394,67,7.5,85,96,0,0,0.00
Jaccob Slavin,29,0,67,4,22,26,6,13,1262,1078,20,163,2,0,2,0,0,21,0,1,4,1,23,0,3,4,1,0.0,0.170,0.936,1.107,0.100,1.046,1.145,0.000,0.000,0.000,0.060,0.328,0.388,121,3.3,44,101,0,0,0.00
Alexander Holtz,21,1,67,14,11,25,14,-11,696,619,77,0,13,1,0,2,0,10,1,0,2,0,23,2,0,4,0,8.0,1.080,0.849,1.929,1.128,0.868,1.996,0.697,0.697,1.393,0.209,0.164,0.373,108,13.0,37,13,1,12,7.69
Logan O'Connor,27,1,57,13,12,25,34,13,897,754,5,137,10,0,3,4,0,12,0,0,1,0,22,0,3,5,0,0.0,0.915,0.845,1.760,0.837,1.004,1.841,0.000,0.000,0.000,0.228,0.211,0.439,85,15.3,60,38,29,35,45.31
Mike Amadio,27,1,59,12,13,25,14,4,815,745,64,5,9,3,0,1,0,11,2,0,2,0,20,5,0,3,0,20.0,0.897,0.972,1.870,0.737,0.900,1.637,2.818,1.878,4.696,0.203,0.220,0.424,94,12.8,39,30,67,63,51.54
Jordan Martinook,31,1,67,12,13,25,28,-1,890,795,7,87,11,0,1,1,0,13,0,0,0,0,24,0,1,1,0,0.0,0.724,0.785,1.509,0.743,0.878,1.621,0.000,0.000,0.000,0.179,0.194,0.373,117,10.3,49,31,37,26,58.73
Bowen Byram,22,0,60,11,14,25,40,3,1215,1093,62,59,11,0,0,0,0,14,0,0,0,0,25,0,0,0,0,0.0,0.543,0.691,1.234,0.603,0.768,1.372,0.000,0.000,0.000,0.183,0.233,0.417,75,14.7,72,77,0,0,0.00
Cole Sillinger,20,1,62,11,14,25,40,-2,929,762,46,121,10,1,0,1,0,14,0,0,1,0,24,1,0,2,0,4.0,0.687,0.874,1.561,0.762,1.066,1.828,1.250,0.000,1.250,0.177,0.226,0.403,117,9.4,104,56,333,379,46.77
Ryan McLeod,24,1,64,11,14,25,8,14,858,747,30,80,11,0,0,3,0,11,1,2,1,0,22,1,2,4,0,4.0,0.721,0.917,1.638,0.828,0.828,1.656,0.000,1.833,1.833,0.172,0.219,0.391,87,12.6,55,26,271,274,49.72
Sean Walker,29,0,67,8,17,25,34,10,1171,1005,35,129,6,0,2,1,0,15,1,1,2,0,21,1,3,3,0,4.0,0.367,0.780,1.147,0.320,0.801,1.122,0.000,1.496,1.496,0.119,0.254,0.373,120,6.7,94,105,0,0,0.00
Jack Roslovic,26,1,45,7,18,25,14,-8,983,861,56,64,6,0,1,2,1,15,3,0,1,0,21,3,1,3,1,12.0,0.570,1.465,2.035,0.557,1.392,1.949,0.000,4.254,4.254,0.156,0.400,0.556,95,7.4,24,23,45,64,41.28
Seth Jones,29,0,52,4,21,25,28,-20,1533,1195,205,132,2,2,0,2,1,16,5,0,2,0,18,7,0,4,1,28.0,0.181,0.948,1.129,0.116,0.927,1.043,0.674,1.686,2.360,0.077,0.404,0.481,136,2.9,48,109,0,0,0.00
Pavel Mintyukov,20,0,56,3,22,25,22,-19,1110,947,118,43,3,0,0,0,0,14,7,1,1,0,17,7,1,1,0,28.0,0.174,1.274,1.447,0.204,0.950,1.153,0.000,3.784,3.784,0.054,0.393,0.446,77,3.9,72,58,0,0,0.00
Ryan McDonagh,34,0,61,3,22,25,16,13,1301,1065,58,176,3,0,0,1,1,18,4,0,1,0,21,4,0,2,1,16.0,0.136,0.997,1.133,0.166,0.997,1.163,0.000,4.003,4.003,0.049,0.361,0.410,75,4.0,31,111,0,0,0.00
Tyler Johnson,33,1,52,15,9,24,22,-29,929,761,165,3,8,7,0,1,0,3,6,0,3,0,11,13,0,4,0,54.2,1.117,0.670,1.787,0.727,0.273,1.000,2.929,2.510,5.439,0.288,0.173,0.462,89,16.9,29,26,130,146,47.10
Lars Eller,34,1,66,13,11,24,32,-3,938,722,83,133,9,3,1,0,0,10,1,0,2,1,19,4,1,2,1,16.7,0.755,0.639,1.394,0.680,0.755,1.435,1.962,0.654,2.616,0.197,0.167,0.364,133,9.8,49,40,385,340,53.10
Artturi Lehkonen,28,1,31,12,12,24,12,10,1132,818,208,105,8,4,0,2,1,7,5,0,2,0,15,9,0,4,1,37.5,1.230,1.230,2.461,1.136,0.994,2.129,2.224,2.780,5.005,0.387,0.387,0.774,73,16.4,36,11,6,20,23.08
Jesperi Kotkaniemi,23,1,67,11,13,24,36,-6,790,712,72,5,10,1,0,0,0,11,1,1,3,0,21,2,1,3,0,8.3,0.748,0.884,1.632,0.754,0.829,1.583,0.744,0.744,1.488,0.164,0.194,0.358,115,9.6,50,29,297,293,50.34
Alexandre Texier,24,1,63,10,14,24,24,-3,858,741,15,101,8,0,2,1,0,13,1,0,0,0,21,1,2,1,0,4.2,0.665,0.931,1.597,0.616,1.002,1.618,0.000,3.596,3.596,0.159,0.222,0.381,86,11.6,41,28,5,11,31.25
Drew O'Connor,25,1,63,9,15,24,14,8,911,801,9,100,9,0,0,1,0,14,0,1,3,0,23,0,1,4,0,0.0,0.564,0.941,1.505,0.641,0.998,1.639,0.000,0.000,0.000,0.143,0.238,0.381,118,7.6,43,36,19,20,48.72
Jake McCabe,30,0,59,6,18,24,46,13,1240,1103,18,119,5,1,0,1,0,16,1,1,2,0,21,2,1,3,0,8.3,0.295,0.885,1.180,0.277,0.885,1.161,3.294,3.294,6.587,0.102,0.305,0.407,60,10.0,170,107,0,0,0.00
Teodors Blueger,29,1,54,5,19,24,23,6,908,775,16,117,4,0,1,0,0,18,0,1,4,0,22,0,2,4,0,0.0,0.367,1.394,1.760,0.344,1.548,1.892,0.000,0.000,0.000,0.093,0.352,0.444,80,6.3,78,35,350,315,52.63
Neal Pionk,28,0,66,5,19,24,53,11,1246,1034,111,101,4,1,0,1,0,13,6,0,4,2,17,7,0,5,2,29.2,0.219,0.831,1.050,0.211,0.686,0.897,0.491,2.944,3.435,0.076,0.288,0.364,127,3.9,185,86,0,0,0.00
Marcus Pettersson,27,0,66,3,21,24,32,15,1354,1177,14,162,3,0,0,1,1,21,0,0,2,0,24,0,0,3,1,0.0,0.121,0.846,0.967,0.139,0.973,1.112,0.000,0.000,0.000,0.045,0.318,0.364,92,3.3,86,125,0,0,0.00
Nick Leddy,32,0,67,3,21,24,12,12,1334,1171,5,157,2,0,1,0,0,19,1,1,4,1,21,1,2,4,1,4.2,0.121,0.846,0.967,0.092,0.871,0.963,0.000,9.730,9.730,0.045,0.313,0.358,64,4.7,41,110,0,0,0.00
Hampus Lindholm,29,0,60,1,23,24,52,20,1412,1164,89,158,0,1,0,0,0,19,4,0,4,1,19,5,0,4,1,20.8,0.042,0.977,1.019,0.000,0.979,0.979,0.670,2.679,3.349,0.017,0.383,0.400,75,1.3,41,77,0,0,0.00
Ryan Johansen,31,1,63,13,10,23,34,-6,818,686,113,18,9,4,0,4,0,7,2,1,2,0,16,6,1,6,0,26.1,0.908,0.698,1.606,0.749,0.583,1.332,2.014,1.007,3.021,0.206,0.159,0.365,78,16.7,60,15,431,380,53.14
Jimmy Vesey,30,1,65,13,10,23,13,0,746,666,18,61,13,0,0,4,0,10,0,0,1,0,23,0,0,5,0,0.0,0.965,0.742,1.707,1.080,0.831,1.911,0.000,0.000,0.000,0.200,0.154,0.354,97,13.4,71,23,9,10,47.37
Evgeny Dadonov,34,1,50,12,11,23,6,-7,789,738,50,0,11,1,0,3,0,10,1,0,2,0,21,2,0,5,0,8.7,1.095,1.004,2.098,1.073,0.975,2.048,1.426,1.426,2.853,0.240,0.220,0.460,66,18.2,34,19,0,4,0.00
Jaden Schwartz,31,1,47,11,12,23,18,-12,979,842,135,1,6,5,0,0,0,9,3,0,2,0,15,8,0,2,0,34.8,0.860,0.939,1.799,0.545,0.818,1.363,2.829,1.698,4.527,0.234,0.255,0.489,96,11.5,37,20,62,52,54.39
Alex Iafallo,30,1,66,10,13,23,4,5,952,756,121,74,8,2,0,1,0,9,3,1,1,0,17,5,1,2,0,21.7,0.573,0.745,1.317,0.577,0.649,1.226,0.899,1.348,2.247,0.152,0.197,0.348,106,9.4,32,58,8,17,32.00
Leo Carlsson,19,1,40,9,14,23,12,-8,1090,951,136,2,6,3,0,0,0,10,4,0,1,1,16,7,0,1,1,30.4,0.743,1.156,1.899,0.568,0.946,1.514,1.983,2.644,4.626,0.225,0.350,0.575,79,11.4,25,16,125,244,33.88
Jordan Greenway,26,1,55,9,14,23,41,7,1025,816,34,175,8,1,0,0,0,12,2,0,3,2,20,3,0,3,2,13.0,0.574,0.893,1.467,0.641,0.962,1.604,1.901,3.801,5.702,0.164,0.255,0.418,86,10.5,112,52,15,36,29.41
Zachary Benson,18,1,57,9,14,23,32,0,871,769,66,35,9,0,0,1,0,14,0,0,2,0,23,0,0,3,0,0.0,0.652,1.015,1.667,0.739,1.149,1.888,0.000,0.000,0.000,0.158,0.246,0.404,80,11.3,26,27,5,10,33.33
Colton Parayko,30,0,67,9,14,23,18,6,1427,1239,25,162,8,0,1,4,1,12,1,1,3,1,20,1,2,7,2,4.3,0.339,0.527,0.866,0.347,0.520,0.867,0.000,2.109,2.109,0.134,0.209,0.343,130,6.9,93,179,0,0,0.00
Darnell Nurse,28,0,65,8,15,23,44,4,1330,1112,60,157,6,1,1,1,1,12,3,0,2,0,18,4,1,3,1,17.4,0.333,0.624,0.957,0.299,0.597,0.896,0.921,2.762,3.683,0.123,0.231,0.354,142,5.6,133,148,0,0,0.00
Jonas Brodin,30,0,50,7,16,23,12,16,1425,1193,44,188,7,0,0,1,0,15,1,0,4,0,22,1,0,5,0,4.3,0.353,0.808,1.161,0.422,0.905,1.327,0.000,1.633,1.633,0.140,0.320,0.460,98,7.1,17,120,0,0,0.00
Esa Lindell,29,0,69,5,18,23,10,13,1220,996,5,218,5,0,0,0,0,17,0,1,3,0,22,0,1,3,0,0.0,0.214,0.770,0.983,0.262,0.890,1.152,0.000,0.000,0.000,0.072,0.261,0.333,94,5.3,67,131,0,0,0.00
Tyler Myers,33,0,63,4,19,23,63,12,1137,991,16,130,3,0,1,0,0,19,0,0,5,0,22,0,1,5,0,0.0,0.201,0.954,1.155,0.173,1.095,1.268,0.000,0.000,0.000,0.063,0.302,0.365,67,6.0,87,115,0,0,0.00
John Marino,26,0,64,4,19,23,20,-11,1270,1078,8,183,4,0,0,1,0,19,0,0,5,1,23,0,0,6,1,0.0,0.177,0.841,1.019,0.209,0.991,1.200,0.000,0.000,0.000,0.063,0.297,0.359,55,7.3,33,77,0,0,0.00
Artyom Zub,28,0,52,3,20,23,22,12,1260,1086,8,165,3,0,0,0,0,20,0,0,3,0,23,0,0,3,0,0.0,0.165,1.099,1.264,0.191,1.274,1.465,0.000,0.000,0.000,0.058,0.385,0.442,63,4.8,111,92,0,0,0.00
William Borgen,27,0,66,2,21,23,56,-2,1058,973,1,83,2,0,0,0,0,21,0,0,4,0,23,0,0,4,0,0.0,0.103,1.082,1.185,0.112,1.177,1.289,0.000,0.000,0.000,0.030,0.318,0.348,69,2.9,165,86,0,0,0.00
Simon Holmström,22,1,65,13,9,22,12,0,794,701,2,91,8,0,5,1,0,7,0,2,1,1,15,0,7,2,1,0.0,0.906,0.627,1.533,0.632,0.553,1.185,0.000,0.000,0.000,0.200,0.138,0.338,60,21.7,12,38,6,12,33.33
Filip Zadina,24,1,61,12,10,22,18,-34,806,725,60,20,9,3,0,2,0,9,1,0,0,0,18,4,0,2,0,18.2,0.878,0.732,1.610,0.732,0.732,1.464,2.922,0.974,3.896,0.197,0.164,0.361,118,10.2,47,26,15,50,23.08
Kyle Okposo,35,1,63,12,10,22,32,0,813,688,76,48,9,2,1,0,0,8,2,0,2,0,17,4,1,2,0,18.2,0.843,0.703,1.546,0.747,0.664,1.412,1.500,1.500,3.000,0.190,0.159,0.349,109,11.0,68,35,130,142,47.79
Alex Newhook,22,1,40,10,12,22,12,-7,1013,827,185,1,8,2,0,1,0,8,4,0,0,0,16,6,0,1,0,27.3,0.888,1.065,1.953,0.870,0.870,1.740,0.972,1.944,2.916,0.250,0.300,0.550,58,17.2,32,17,133,161,45.24
Ridly Greig,21,1,55,10,12,22,45,17,868,750,44,73,7,2,1,1,0,12,0,0,2,0,19,2,1,3,0,9.1,0.753,0.904,1.658,0.610,1.046,1.656,2.945,0.000,2.945,0.182,0.218,0.400,75,13.3,92,34,138,187,42.46
Mike Hoffman,34,1,61,10,12,22,20,-22,836,740,95,0,7,3,0,1,0,9,3,0,1,0,16,6,0,2,0,27.3,0.705,0.846,1.551,0.558,0.717,1.274,1.849,1.849,3.698,0.164,0.197,0.361,68,14.7,28,24,12,20,37.50
Miles Wood,28,1,63,9,13,22,71,-4,828,745,12,71,8,0,1,1,0,13,0,0,2,0,21,0,1,3,0,0.0,0.620,0.896,1.517,0.613,0.997,1.610,0.000,0.000,0.000,0.143,0.206,0.349,138,6.5,95,31,12,24,33.33
Ryan Poehling,24,1,63,9,13,22,6,-9,869,743,13,112,6,0,3,1,0,12,0,1,1,0,18,0,4,2,0,0.0,0.591,0.854,1.445,0.461,0.922,1.383,0.000,0.000,0.000,0.143,0.206,0.349,86,10.5,52,83,364,377,49.12
Tomas Tatar,33,1,62,8,14,22,20,11,756,700,39,16,8,0,0,2,0,13,1,0,3,0,21,1,0,5,0,4.5,0.614,1.075,1.689,0.663,1.077,1.740,0.000,1.475,1.475,0.129,0.226,0.355,61,13.1,39,23,4,14,22.22
Cole Smith,28,1,67,8,14,22,56,5,817,687,2,128,7,0,1,4,0,12,0,2,4,0,19,0,3,8,0,0.0,0.526,0.920,1.445,0.547,0.938,1.486,0.000,0.000,0.000,0.119,0.209,0.328,93,8.6,206,28,5,11,31.25
Paul Cotter,24,1,64,7,15,22,39,-10,776,738,38,0,5,2,0,0,0,13,2,0,4,0,18,4,0,4,0,18.2,0.507,1.086,1.593,0.381,0.990,1.371,2.929,2.929,5.858,0.109,0.234,0.344,93,7.5,202,24,22,23,48.89
Thomas Chabot,26,0,38,6,16,22,18,-4,1440,1235,176,27,5,1,0,0,0,11,5,0,2,1,16,6,0,2,1,27.3,0.395,1.053,1.447,0.383,0.843,1.227,0.536,2.679,3.214,0.158,0.421,0.579,87,6.9,31,75,0,0,0.00
Jake Evans,27,1,67,5,17,22,20,-2,948,751,8,188,5,0,0,1,0,17,0,0,3,0,22,0,0,4,0,0.0,0.283,0.963,1.246,0.358,1.216,1.573,0.000,0.000,0.000,0.075,0.254,0.328,69,7.3,73,55,457,424,51.87
Jacob Trouba,29,0,60,3,19,22,52,1,1306,1107,24,174,3,0,0,0,0,17,1,1,4,0,20,1,1,4,0,4.5,0.138,0.873,1.011,0.163,0.921,1.084,0.000,2.462,2.462,0.050,0.317,0.367,114,2.6,165,170,0,0,0.00
Justin Faulk,31,0,50,2,20,22,18,-7,1327,1126,105,95,1,1,0,1,0,17,2,1,3,0,18,3,1,4,0,13.6,0.108,1.085,1.193,0.064,1.086,1.150,0.682,1.364,2.046,0.040,0.400,0.440,106,1.9,71,94,0,0,0.00
Dylan Demelo,30,0,66,2,20,22,34,32,1312,1148,5,158,2,0,0,0,0,19,1,0,4,0,21,1,0,4,0,4.5,0.083,0.831,0.914,0.095,0.903,0.998,0.000,9.351,9.351,0.030,0.303,0.333,68,2.9,127,109,0,0,0.00
Jake Walman,27,0,60,12,9,21,44,3,1194,1003,41,149,11,1,0,3,2,5,3,1,2,1,16,4,1,5,3,19.0,0.603,0.452,1.054,0.658,0.299,0.957,1.434,4.301,5.735,0.200,0.150,0.350,105,11.4,38,148,0,0,0.00
Sam Lafferty,28,1,65,11,10,21,30,7,716,666,27,21,10,0,1,3,0,10,0,0,0,0,20,0,1,3,0,0.0,0.851,0.773,1.624,0.831,0.831,1.661,0.000,0.000,0.000,0.169,0.154,0.323,66,16.7,135,28,130,172,43.05
Marcus Foligno,32,1,52,10,11,21,57,13,871,712,32,126,10,0,0,3,0,10,0,1,3,0,20,0,1,6,0,0.0,0.794,0.874,1.668,0.971,0.971,1.943,0.000,0.000,0.000,0.192,0.212,0.404,53,18.9,171,38,7,11,38.89
Calle Järnkrok,32,1,52,10,11,21,18,16,915,749,76,90,9,0,1,3,1,9,1,1,1,0,18,1,2,4,1,4.8,0.756,0.832,1.588,0.831,0.831,1.663,0.000,0.910,0.910,0.192,0.212,0.404,92,10.9,55,13,65,67,49.24
Justin Danforth,30,1,63,10,11,21,22,-13,855,744,29,81,10,0,0,1,0,11,0,0,4,2,21,0,0,5,2,0.0,0.668,0.735,1.402,0.767,0.844,1.612,0.000,0.000,0.000,0.159,0.175,0.333,77,13.0,104,44,135,142,48.74
Alex Laferriere,22,1,66,10,11,21,38,-11,804,757,43,4,10,0,0,2,0,8,3,0,1,0,18,3,0,3,0,14.3,0.678,0.745,1.423,0.720,0.576,1.296,0.000,3.797,3.797,0.152,0.167,0.318,131,7.6,82,22,6,5,54.55
Blake Wheeler,37,1,54,9,12,21,23,2,763,704,58,0,8,1,0,1,0,12,0,0,3,0,20,1,0,4,0,4.8,0.786,1.048,1.835,0.757,1.135,1.892,1.142,0.000,1.142,0.167,0.222,0.389,83,10.8,31,31,38,24,61.29
Ryan Donato,27,1,63,9,12,21,17,-19,854,724,101,27,8,1,0,0,0,11,1,0,0,0,19,2,0,0,0,9.5,0.602,0.803,1.405,0.631,0.867,1.498,0.561,0.561,1.122,0.143,0.190,0.333,125,7.2,81,22,89,103,46.35
Pierre Engvall,27,1,60,8,13,21,16,2,922,837,84,0,7,1,0,1,0,9,4,0,2,0,16,5,0,3,0,23.8,0.521,0.846,1.366,0.502,0.645,1.147,0.709,2.834,3.543,0.133,0.217,0.350,107,7.5,22,16,18,22,45.00
Jacob Middleton,27,0,66,7,14,21,70,-11,1198,1051,2,144,7,0,0,1,0,13,0,1,1,0,20,0,1,2,0,0.0,0.319,0.637,0.956,0.363,0.674,1.038,0.000,0.000,0.000,0.106,0.212,0.318,73,9.6,131,137,0,0,0.00
Curtis Lazar,28,1,62,6,15,21,39,11,767,694,4,68,5,0,1,2,0,15,0,0,4,0,20,0,1,6,0,0.0,0.454,1.134,1.588,0.418,1.253,1.671,0.000,0.000,0.000,0.097,0.242,0.339,70,8.6,162,53,164,164,50.00
Oscar Sundqvist,29,1,67,6,15,21,32,-6,806,647,68,90,2,3,1,0,0,11,2,2,3,0,13,5,3,3,0,23.8,0.400,1.000,1.400,0.166,0.912,1.078,2.368,1.579,3.947,0.090,0.224,0.313,66,9.1,79,47,229,329,41.04
Brayden McNabb,32,0,66,3,18,21,26,17,1157,1005,3,148,3,0,0,0,0,17,0,1,4,0,20,0,1,4,0,0.0,0.141,0.848,0.989,0.163,0.922,1.085,0.000,0.000,0.000,0.045,0.273,0.318,63,4.8,114,171,0,0,0.00
Matt Roy,28,0,66,3,18,21,28,13,1264,1080,10,173,3,0,0,0,0,15,1,2,2,1,18,1,2,2,1,4.8,0.129,0.776,0.906,0.151,0.757,0.908,0.000,5.195,5.195,0.045,0.273,0.318,116,2.6,138,157,0,0,0.00
Nicklaus Perbix,25,0,65,2,19,21,10,7,1027,986,1,39,2,0,0,1,1,19,0,0,1,0,21,0,0,2,1,0.0,0.108,1.024,1.132,0.112,1.066,1.179,0.000,0.000,0.000,0.031,0.292,0.323,44,4.6,59,94,0,0,0.00
Brendan Gallagher,31,1,62,11,9,20,57,-23,833,732,101,0,10,1,0,2,0,6,3,0,0,0,16,4,0,2,0,20.0,0.766,0.627,1.393,0.793,0.476,1.269,0.573,1.720,2.293,0.177,0.145,0.323,130,8.5,48,30,12,15,44.44
Dylan Guenther,20,1,31,10,10,20,10,0,950,733,172,44,4,6,0,2,0,6,3,1,0,0,10,9,1,2,0,45.0,1.222,1.222,2.443,0.633,0.950,1.583,4.049,2.025,6.074,0.323,0.323,0.645,74,13.5,25,16,3,6,33.33
Michael Eyssimont,27,1,66,10,10,20,95,5,712,687,24,0,8,2,0,2,0,8,2,0,0,0,16,4,0,2,0,20.0,0.765,0.765,1.531,0.635,0.635,1.270,4.404,4.404,8.807,0.152,0.152,0.303,125,8.0,102,25,5,4,55.56
Nick Robertson,22,1,42,9,11,20,2,4,681,644,35,1,8,1,0,1,0,9,2,0,1,1,17,3,0,2,1,15.0,1.132,1.384,2.516,1.064,1.197,2.262,2.410,4.819,7.229,0.214,0.262,0.476,66,13.6,27,19,0,1,0.00
Bobby Brink,22,1,44,9,11,20,8,6,838,708,129,0,7,2,0,1,0,9,2,0,0,0,16,4,0,1,0,20.0,0.878,1.073,1.951,0.809,1.040,1.849,1.260,1.260,2.519,0.205,0.250,0.455,62,14.5,21,18,3,3,50.00
Philip Tomasino,22,1,41,7,13,20,25,-6,754,657,96,0,7,0,0,2,0,9,4,0,1,0,16,4,0,3,0,20.0,0.815,1.513,2.328,0.934,1.201,2.135,0.000,3.637,3.637,0.171,0.317,0.488,62,11.3,13,18,3,16,15.79
Josh Manson,32,0,62,7,13,20,74,10,1057,935,2,118,6,0,1,0,0,12,0,1,2,0,18,0,2,2,0,0.0,0.384,0.714,1.098,0.372,0.745,1.117,0.000,0.000,0.000,0.113,0.210,0.323,94,7.5,179,88,0,1,0.00
Sam Steel,25,1,64,7,13,20,27,0,798,686,3,108,5,0,2,1,0,12,0,1,3,0,17,0,3,4,0,0.0,0.493,0.916,1.409,0.410,0.983,1.393,0.000,0.000,0.000,0.109,0.203,0.313,67,10.5,51,28,83,95,46.63
Damon Severson,29,0,52,6,14,20,41,-6,1247,1101,74,72,6,0,0,0,0,9,3,2,1,1,15,3,2,1,1,15.0,0.333,0.777,1.110,0.377,0.566,0.943,0.000,2.804,2.804,0.115,0.269,0.385,65,9.2,34,65,0,0,0.00
Timothy Liljegren,24,0,47,3,17,20,16,5,1164,1019,80,64,3,0,0,1,0,10,6,1,2,1,13,6,1,3,1,30.0,0.197,1.118,1.315,0.225,0.751,0.977,0.000,5.711,5.711,0.064,0.362,0.426,53,5.7,68,99,0,0,0.00
Rasmus Sandin,23,0,58,3,17,20,18,-10,1278,1178,84,16,3,0,0,1,0,12,5,0,3,0,15,5,0,4,0,25.0,0.146,0.825,0.971,0.158,0.632,0.790,0.000,3.664,3.664,0.052,0.293,0.345,72,4.2,60,92,0,0,0.00
Dmitry Orlov,32,0,67,3,17,20,34,1,1022,941,32,48,2,0,1,1,0,13,4,0,0,0,15,4,1,1,0,20.0,0.158,0.893,1.051,0.114,0.742,0.856,0.000,6.519,6.519,0.045,0.254,0.299,101,3.0,100,45,0,0,0.00
T.J. Oshie,37,1,42,11,8,19,42,-10,998,806,186,6,4,7,0,3,0,5,3,0,1,0,9,10,0,4,0,52.6,0.944,0.686,1.630,0.425,0.531,0.957,3.222,1.381,4.603,0.262,0.190,0.452,78,14.1,64,41,11,28,28.21
Will Cuylle,21,1,67,11,8,19,47,2,664,649,15,0,10,1,0,2,0,7,1,0,0,0,17,2,0,2,0,10.5,0.889,0.647,1.536,0.828,0.579,1.407,3.452,3.452,6.903,0.164,0.119,0.284,97,11.3,212,23,2,8,20.00
Eetu Luostarinen,25,1,68,11,8,19,18,-3,949,757,42,149,9,2,0,2,0,7,0,1,1,0,16,2,1,3,0,10.5,0.614,0.446,1.060,0.629,0.489,1.118,2.518,0.000,2.518,0.162,0.118,0.279,91,12.1,103,44,86,77,52.76
Michael Mcleod,25,1,45,10,9,19,10,6,908,830,8,70,10,0,0,2,0,9,0,0,2,0,19,0,0,4,0,0.0,0.880,0.792,1.673,0.964,0.867,1.831,0.000,0.000,0.000,0.222,0.200,0.422,73,13.7,101,22,424,228,65.03
Kiefer Sherwood,28,1,54,9,10,19,31,13,718,680,25,11,9,0,0,1,0,10,0,0,4,0,19,0,0,5,0,0.0,0.836,0.928,1.764,0.881,0.979,1.860,0.000,0.000,0.000,0.167,0.185,0.352,83,10.8,183,18,12,15,44.44
Evgeny Kuznetsov,31,1,48,7,12,19,26,-7,1108,845,161,102,7,0,0,1,0,8,4,0,0,0,15,4,0,1,0,21.1,0.473,0.812,1.285,0.621,0.710,1.330,0.000,1.863,1.863,0.146,0.250,0.396,82,8.5,18,13,276,326,45.85
Jack McBain,23,1,53,7,12,19,41,2,749,635,3,109,7,0,0,2,1,12,0,0,3,0,19,0,0,5,1,0.0,0.635,1.088,1.723,0.748,1.282,2.030,0.000,0.000,0.000,0.132,0.226,0.358,43,16.3,145,32,214,270,44.21
Shane Pinto,23,1,24,6,13,19,4,10,1070,906,140,23,4,2,0,1,1,12,1,0,2,1,16,3,0,3,2,15.8,0.841,1.821,2.662,0.662,1.986,2.647,2.128,1.064,3.192,0.250,0.542,0.792,73,8.2,20,24,153,143,51.69
Justin Schultz,33,0,56,6,13,19,22,-15,964,841,122,0,6,0,0,2,1,8,5,0,1,0,14,5,0,3,1,26.3,0.400,0.866,1.266,0.458,0.611,1.069,0.000,2.629,2.629,0.107,0.232,0.339,77,7.8,19,57,0,0,0.00
Jalen Chatfield,27,0,58,6,13,19,20,6,892,852,1,38,6,0,0,2,0,13,0,0,3,0,19,0,0,5,0,0.0,0.417,0.904,1.321,0.437,0.946,1.383,0.000,0.000,0.000,0.103,0.224,0.328,73,8.2,54,53,0,0,0.00
Andrew Cogliano,36,1,61,6,13,19,16,9,651,516,0,134,5,0,1,0,0,10,0,3,2,0,15,0,4,2,0,0.0,0.543,1.177,1.720,0.571,1.142,1.713,0.000,0.000,0.000,0.098,0.213,0.311,52,11.5,25,33,52,93,35.86
Kevin Shattenkirk,34,0,54,5,14,19,14,-2,943,853,82,6,3,2,0,0,0,7,7,0,3,0,10,9,0,3,0,47.4,0.353,0.990,1.343,0.234,0.547,0.781,1.614,5.648,7.261,0.093,0.259,0.352,72,6.9,49,77,0,0,0.00
Kasperi Kapanen,27,1,59,5,14,19,10,-3,879,760,36,81,4,0,1,1,0,13,0,1,2,0,17,0,2,3,0,0.0,0.347,0.971,1.318,0.321,1.042,1.363,0.000,0.000,0.000,0.085,0.237,0.322,83,6.0,46,24,12,23,34.29
Erik Gudbranson,31,0,63,4,15,19,59,-7,1168,986,1,179,4,0,0,1,0,14,0,1,2,0,18,0,1,3,0,0.0,0.196,0.734,0.929,0.232,0.811,1.043,0.000,0.000,0.000,0.063,0.238,0.302,70,5.7,76,139,0,0,0.00
Alexandre Carrier,27,0,63,4,15,19,38,8,1123,968,24,130,3,0,1,2,0,14,1,0,2,0,17,1,1,4,0,5.3,0.204,0.763,0.967,0.177,0.826,1.003,0.000,2.305,2.305,0.063,0.238,0.302,64,6.3,55,123,0,0,0.00
Mikhail Sergachyov,25,0,34,2,17,19,16,-16,1353,1110,101,141,2,0,0,0,0,10,7,0,3,0,12,7,0,3,0,36.8,0.156,1.330,1.487,0.191,0.953,1.144,0.000,7.319,7.319,0.059,0.500,0.559,53,3.8,36,70,0,0,0.00
