Name,Age,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,FOW,FOL,FO%
Kirill Marchenko,23,1,63,17,15,32,12,-1,975,815,154,5,10,7,0,1,0,12,3,0,1,0,22,10,0,2,0,31.3,0.996,0.879,1.874,0.700,0.841,1.541,2.596,1.112,3.708,0.270,0.238,0.508,152,11.2,42,35,23,49,31.94
Brayden Schenn,32,1,67,14,18,32,43,-20,1050,855,151,42,11,2,1,3,2,11,7,0,3,1,22,9,1,6,3,28.1,0.716,0.921,1.637,0.691,0.691,1.381,0.709,2.481,3.190,0.209,0.269,0.478,129,10.9,146,44,386,421,47.83
Conor Garland,27,1,68,13,19,32,19,13,848,758,89,0,13,0,0,1,0,17,2,0,4,0,30,2,0,5,0,6.3,0.811,1.186,1.997,0.907,1.187,2.094,0.000,1.187,1.187,0.191,0.279,0.471,152,8.6,39,29,2,6,25.00
Logan Cooley,19,1,68,13,19,32,18,-13,948,799,136,13,9,3,1,1,0,11,8,0,3,0,20,11,1,4,0,34.4,0.725,1.060,1.786,0.596,0.729,1.325,1.165,3.107,4.272,0.191,0.279,0.471,123,10.6,46,24,216,331,39.49
Adam Lowry,30,1,66,10,22,32,55,16,972,808,33,130,9,0,1,1,1,19,2,1,4,0,28,2,2,5,1,6.3,0.561,1.234,1.795,0.607,1.282,1.890,0.000,3.292,3.292,0.152,0.333,0.485,99,10.1,143,56,564,564,50.00
Scott Laughton,29,1,68,10,22,32,52,3,932,745,75,112,7,1,2,1,0,15,2,5,2,0,22,3,7,3,0,9.4,0.567,1.248,1.816,0.497,1.065,1.562,0.703,1.405,2.108,0.147,0.324,0.471,138,7.3,126,42,388,412,48.50
Rasmus Andersson,27,0,63,7,25,32,41,-3,1429,1152,152,123,6,0,1,3,1,19,6,0,2,0,25,6,1,5,1,18.8,0.280,1.000,1.279,0.297,0.942,1.239,0.000,2.242,2.242,0.111,0.397,0.508,128,5.5,36,149,0,0,0.00
Nils Höglander,23,1,66,20,11,31,45,17,702,677,24,0,20,0,0,4,0,11,0,0,5,0,31,0,0,9,0,0.0,1.553,0.854,2.407,1.611,0.886,2.496,0.000,0.000,0.000,0.303,0.167,0.470,99,20.2,66,18,0,0,0.00
Anthony Duclair,28,1,59,18,13,31,30,-7,966,845,115,5,13,5,0,1,0,7,6,0,2,0,20,11,0,3,0,35.5,1.136,0.821,1.957,0.938,0.505,1.443,2.649,3.179,5.829,0.305,0.220,0.525,105,17.1,37,29,13,21,38.24
Jason Dickinson,28,1,67,18,13,31,37,5,994,820,48,125,16,2,0,3,0,13,0,0,3,1,29,2,0,6,1,6.5,0.972,0.702,1.675,1.048,0.852,1.900,2.199,0.000,2.199,0.269,0.194,0.463,107,16.8,113,57,520,515,50.24
