Name,Age,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,FOW,FOL,FO%
Jack McBain,23,1,13,4,3,7,11,1,733,584,7,140,4,0,0,0,0,3,0,0,1,0,7,0,0,1,0,0.0,1.511,1.133,2.645,1.894,1.421,3.315,0.000,0.000,0.000,0.308,0.231,0.538,16,25.0,33,6,59,76,43.70
Blake Lizotte,26,1,16,4,3,7,4,7,683,540,9,133,3,0,1,2,0,3,0,0,0,0,6,0,1,2,0,0.0,1.317,0.987,2.304,1.249,1.249,2.498,0.000,0.000,0.000,0.250,0.188,0.438,20,20.0,12,5,66,72,47.83
Alex Barre-Boulet,26,1,19,4,3,7,8,-5,729,656,73,0,2,2,0,0,0,3,0,0,0,0,5,2,0,0,0,28.6,1.039,0.780,1.819,0.578,0.866,1.444,5.184,0.000,5.184,0.211,0.158,0.368,32,12.5,9,4,10,7,58.82
Curtis Lazar,28,1,20,4,3,7,12,5,724,653,3,68,3,0,1,2,0,3,0,0,1,0,6,0,1,3,0,0.0,0.993,0.745,1.738,0.827,0.827,1.654,0.000,0.000,0.000,0.200,0.150,0.350,22,18.2,47,19,35,21,62.50
Radko Gudas,33,0,23,4,3,7,41,7,1125,926,5,194,4,0,0,0,0,3,0,0,1,0,7,0,0,1,0,0.0,0.556,0.417,0.973,0.676,0.507,1.183,0.000,0.000,0.000,0.174,0.130,0.304,29,13.8,62,53,0,0,0.00
Brenden Dillon,33,0,24,4,3,7,36,9,1125,966,10,148,4,0,0,1,0,3,0,0,1,0,7,0,0,2,0,0.0,0.533,0.400,0.933,0.621,0.466,1.087,0.000,0.000,0.000,0.167,0.125,0.292,23,17.4,71,37,0,0,0.00
Alexandre Texier,24,1,24,4,3,7,6,-9,936,766,37,132,4,0,0,0,0,2,1,0,0,0,6,1,0,0,0,14.3,0.641,0.481,1.122,0.783,0.391,1.174,0.000,4.013,4.013,0.167,0.125,0.292,34,11.8,7,10,2,3,40.00
Adam Ruzicka,24,1,19,3,4,7,4,-2,676,569,106,0,3,0,0,1,0,1,3,0,0,0,4,3,0,1,0,42.9,0.840,1.121,1.961,0.998,0.333,1.331,0.000,5.325,5.325,0.158,0.211,0.368,23,13.0,2,6,36,39,48.00
Andrew Cogliano,36,1,21,3,4,7,4,6,631,487,0,143,2,0,1,0,0,2,0,2,2,0,4,0,3,2,0,0.0,0.815,1.086,1.901,0.704,0.704,1.408,0.000,0.000,0.000,0.143,0.190,0.333,10,30.0,4,8,19,45,29.69
Sonny Milano,27,1,21,3,4,7,6,-2,731,684,47,0,3,0,0,1,0,4,0,0,2,0,7,0,0,3,0,0.0,0.703,0.937,1.640,0.752,1.003,1.754,0.000,0.000,0.000,0.143,0.190,0.333,18,16.7,6,7,0,0,0.00
Logan O'Connor,27,1,22,3,4,7,20,5,824,678,0,145,0,0,3,2,0,4,0,0,1,0,4,0,3,3,0,0.0,0.596,0.794,1.390,0.000,0.965,0.965,0.000,0.000,0.000,0.136,0.182,0.318,26,11.5,16,16,7,4,63.64
Cal Clutterbuck,36,1,23,3,4,7,18,1,767,635,1,130,3,0,0,0,0,4,0,0,1,0,7,0,0,1,0,0.0,0.612,0.815,1.427,0.739,0.985,1.724,0.000,0.000,0.000,0.130,0.174,0.304,16,18.8,52,17,8,3,72.73
Casey Cizikas,32,1,23,3,4,7,12,-2,807,680,2,124,2,0,1,1,0,4,0,0,0,0,6,0,1,1,0,0.0,0.582,0.776,1.357,0.460,0.920,1.379,0.000,0.000,0.000,0.130,0.174,0.304,23,13.0,37,21,132,118,52.80
Dillon Dube,25,1,23,3,4,7,8,-5,786,682,49,54,2,1,0,0,0,4,0,0,1,0,6,1,0,1,0,14.3,0.597,0.796,1.393,0.459,0.917,1.376,3.183,0.000,3.183,0.130,0.174,0.304,24,12.5,13,11,16,11,59.26
